order_id,user_id,order_time,location,items_ordered,total_amount,payment_method,delivery_time,delivery_duration_mins,delivered_on_time
ORD100038,USR1711,2025-06-13 23:44:08,Bangalore,"Flour, Eggs, Bread, Juice, Fruits",1057.93,Cash,2025-06-14 00:30:08,46.0,0
ORD100039,USR8527,2025-06-10 10:40:50,Delhi,"Eggs, Fruits",716.21,Card,2025-06-10 11:38:50,58.0,0
ORD100040,USR9785,2025-06-04 01:36:46,Hyderabad,"Eggs, Milk",270.85,Wallet,2025-06-04 02:04:46,28.0,1
ORD100041,USR3045,2025-06-21 15:32:51,Pune,"Bread, Juice, Fruits, Flour",793.25,Wallet,2025-06-21 15:53:51,21.0,1
ORD100042,USR7201,2025-07-02 09:56:16,Delhi,"Sugar, Vegetables",148.14,UPI,2025-07-02 11:06:16,70.0,0
ORD100043,USR2291,2025-06-23 12:25:40,Mumbai,"Bread, Sugar, Juice",1373.05,Card,2025-06-23 13:15:40,50.0,0
ORD100044,USR5803,2025-06-22 23:12:00,Mumbai,"Juice, Flour, Snacks, Sugar, Eggs",462.29,Wallet,2025-06-22 23:54:00,42.0,1
ORD100045,USR6925,2025-06-10 21:45:31,Hyderabad,"Rice, Milk, Juice, Flour, Fruits",1027.53,Wallet,2025-06-10 22:44:31,59.0,0
ORD100046,USR4150,2025-06-06 20:42:23,Bangalore,"Eggs, Bread",536.4,Cash,2025-06-06 21:59:23,77.0,0
ORD100047,USR2139,2025-06-28 02:42:12,Mumbai,Sugar,828.1,Cash,2025-06-28 04:02:12,80.0,0
ORD100048,USR1750,2025-06-25 12:03:08,Delhi,Vegetables,865.39,Wallet,2025-06-25 12:45:08,42.0,1
ORD100049,USR4733,2025-06-17 09:10:57,Bangalore,"Snacks, Juice, Vegetables, Fruits, Sugar",358.8,Card,2025-06-17 09:43:57,33.0,1
ORD100050,USR5741,2025-06-10 10:48:33,Hyderabad,"Sugar, Rice, Milk, Bread",1457.42,UPI,2025-06-10 11:58:33,70.0,0
ORD100051,USR2307,2025-06-27 11:30:33,Mumbai,"Juice, Eggs, Sugar",1185.19,Cash,2025-06-27 12:40:33,70.0,0
ORD100052,USR4814,2025-06-14 02:33:41,Hyderabad,Juice,1415.3,Cash,2025-06-14 03:10:41,37.0,1
ORD100053,USR2654,2025-06-17 21:22:15,Kolkata,"Fruits, Milk, Rice",1352.76,UPI,2025-06-17 22:29:15,67.0,0
ORD100054,USR7227,2025-06-29 09:19:29,Bangalore,"Snacks, Milk, Sugar",937.06,Cash,2025-06-29 10:11:29,52.0,0
ORD100055,USR5554,2025-06-04 03:42:43,Bangalore,"Vegetables, Sugar, Rice",1390.62,Card,2025-06-04 04:32:43,50.0,0
ORD100056,USR8428,2025-06-26 19:26:41,Bangalore,Fruits,223.89,Card,2025-06-26 20:14:41,48.0,0
ORD100057,USR6977,2025-06-08 22:32:18,Chennai,"Vegetables, Rice",374.38,UPI,2025-06-08 23:30:18,58.0,0
ORD100058,USR3664,2025-07-01 17:34:29,Pune,"Vegetables, Juice, Bread",163.32,UPI,2025-07-01 18:00:29,26.0,1
ORD100059,USR7065,2025-06-05 21:19:48,Chennai,"Rice, Fruits",555.46,Wallet,2025-06-05 22:38:48,79.0,0
ORD100060,USR6820,2025-06-04 20:13:14,Delhi,"Rice, Flour, Snacks, Juice",644.15,UPI,2025-06-04 21:32:14,79.0,0
ORD100061,USR4432,2025-06-06 03:08:42,Bangalore,Flour,479.89,Card,2025-06-06 04:22:42,74.0,0
ORD100062,USR5374,2025-06-21 00:02:38,Pune,"Bread, Vegetables",1260.23,UPI,2025-06-21 01:25:38,83.0,0
ORD100063,USR2169,2025-06-28 01:33:38,Bangalore,"Juice, Eggs, Milk, Bread, Sugar",599.45,Card,2025-06-28 01:47:38,14.0,1
ORD100064,USR3803,2025-06-09 13:03:37,Pune,"Milk, Fruits",493.31,Wallet,2025-06-09 13:14:37,11.0,1
ORD100065,USR9751,2025-06-06 03:36:42,Mumbai,Rice,859.77,Wallet,2025-06-06 04:07:42,31.0,1
ORD100066,USR5010,2025-06-30 05:15:00,Delhi,Snacks,297.29,Card,2025-06-30 06:21:00,66.0,0
ORD100067,USR3677,2025-06-14 06:15:49,Pune,"Vegetables, Snacks",1223.08,Wallet,2025-06-14 07:30:49,75.0,0
ORD100068,USR8573,2025-06-04 15:08:33,Delhi,"Flour, Juice, Bread, Snacks",204.37,UPI,2025-06-04 16:31:33,83.0,0
ORD100069,USR7216,2025-06-13 23:40:55,Hyderabad,Fruits,1481.64,Cash,2025-06-14 00:05:55,25.0,1
ORD100070,USR5422,2025-06-30 01:49:41,Bangalore,"Rice, Sugar, Eggs",1181.14,Card,2025-06-30 02:49:41,60.0,0
ORD100071,USR4598,2025-06-20 19:19:14,Mumbai,"Sugar, Flour, Snacks, Eggs",378.2,Cash,2025-06-20 20:07:14,48.0,0
ORD100072,USR6313,2025-06-16 00:35:58,Hyderabad,"Vegetables, Bread",107.73,Cash,2025-06-16 02:00:58,85.0,0
ORD100073,USR1916,2025-06-13 11:23:27,Pune,"Milk, Juice, Sugar",1241.65,Wallet,2025-06-13 12:12:27,49.0,0
ORD100074,USR4752,2025-06-28 07:57:15,Chennai,"Sugar, Fruits",1089.6,Card,2025-06-28 08:44:15,47.0,0
ORD100075,USR1525,2025-06-07 09:44:16,Pune,"Fruits, Sugar",1120.61,UPI,2025-06-07 10:53:16,69.0,0
ORD100076,USR6168,2025-07-01 23:03:55,Kolkata,"Juice, Flour, Milk",1179.78,Card,2025-07-02 00:11:55,68.0,0
ORD100077,USR7572,2025-06-09 11:36:54,Bangalore,Rice,203.66,Card,2025-06-09 11:55:54,19.0,1
ORD100078,USR5386,2025-06-14 03:48:13,Pune,"Eggs, Milk",601.85,Cash,2025-06-14 05:01:13,73.0,0
ORD100079,USR2084,2025-06-15 02:11:22,Delhi,"Vegetables, Sugar",262.22,Wallet,2025-06-15 03:23:22,72.0,0
ORD100080,USR4456,2025-06-06 06:58:19,Pune,"Juice, Sugar, Snacks",1308.34,Wallet,2025-06-06 07:56:19,58.0,0
ORD100081,USR6155,2025-06-06 18:37:00,Bangalore,"Vegetables, Fruits, Rice, Eggs",972.62,Card,2025-06-06 19:50:00,73.0,0
ORD100082,USR4483,2025-06-29 13:01:41,Bangalore,"Sugar, Juice, Bread, Milk, Vegetables",563.26,Wallet,2025-06-29 13:42:41,41.0,1
ORD100083,USR9179,2025-06-14 17:39:37,Chennai,"Flour, Vegetables, Sugar",188.98,Card,2025-06-14 17:55:37,16.0,1
ORD100084,USR7482,2025-06-14 00:35:02,Mumbai,Rice,535.38,UPI,2025-06-14 01:05:02,30.0,1
ORD100085,USR8517,2025-07-01 04:39:40,Mumbai,Snacks,555.26,Cash,2025-07-01 05:08:40,29.0,1
ORD100086,USR3340,2025-06-29 05:07:30,Mumbai,"Snacks, Vegetables, Flour",1121.45,Wallet,2025-06-29 05:42:30,35.0,1
ORD100087,USR5339,2025-06-23 01:14:52,Hyderabad,"Fruits, Eggs, Sugar",992.58,Card,2025-06-23 02:31:52,77.0,0
ORD100088,USR3287,2025-06-12 10:59:24,Mumbai,Sugar,1342.1,Cash,2025-06-12 11:23:24,24.0,1
ORD100089,USR5040,2025-06-29 20:16:31,Hyderabad,"Snacks, Eggs, Milk, Sugar",761.1,UPI,2025-06-29 21:44:31,88.0,0
ORD100090,USR9830,2025-06-08 15:49:42,Pune,"Vegetables, Sugar, Juice, Fruits",267.43,Card,2025-06-08 16:12:42,23.0,1
ORD100091,USR5304,2025-06-07 06:07:00,Chennai,"Milk, Fruits, Snacks, Rice",1098.54,Wallet,2025-06-07 06:43:00,36.0,1
ORD100092,USR8019,2025-06-19 03:50:20,Bangalore,"Flour, Rice",1165.1,UPI,2025-06-19 04:39:20,49.0,0
ORD100093,USR7543,2025-07-02 03:50:23,Hyderabad,"Flour, Vegetables, Eggs",885.79,UPI,2025-07-02 04:57:23,67.0,0
ORD100094,USR6930,2025-06-11 18:37:23,Pune,"Eggs, Vegetables, Bread, Fruits, Rice",1179.35,Card,2025-06-11 19:14:23,37.0,1
ORD100095,USR4593,2025-06-19 12:13:33,Chennai,"Flour, Eggs, Snacks",791.31,UPI,2025-06-19 12:48:33,35.0,1
ORD100096,USR3266,2025-06-24 03:47:44,Hyderabad,Fruits,831.83,Wallet,2025-06-24 04:59:44,72.0,0
ORD100097,USR9348,2025-06-15 11:27:50,Kolkata,"Fruits, Vegetables, Juice",698.56,Card,2025-06-15 12:42:50,75.0,0
ORD100098,USR9085,2025-06-27 01:25:08,Chennai,"Snacks, Vegetables, Flour",135.59,Cash,2025-06-27 01:59:08,34.0,1
ORD100099,USR2489,2025-06-08 05:33:05,Kolkata,"Bread, Rice, Milk, Juice",251.05,UPI,2025-06-08 05:45:05,12.0,1
ORD100100,USR1771,2025-06-09 15:46:23,Pune,"Sugar, Bread, Rice, Flour, Vegetables",144.0,Wallet,2025-06-09 17:07:23,81.0,0
ORD100101,USR2796,2025-06-12 12:17:29,Kolkata,Juice,990.97,Wallet,2025-06-12 13:10:29,53.0,0
ORD100102,USR3504,2025-06-04 05:10:13,Mumbai,"Vegetables, Juice, Milk, Flour, Bread",540.1,Cash,2025-06-04 06:01:13,51.0,0
ORD100103,USR3621,2025-06-22 11:59:51,Kolkata,"Fruits, Snacks",812.0,Cash,2025-06-22 12:14:51,15.0,1
ORD100104,USR7916,2025-07-02 15:44:36,Mumbai,"Sugar, Rice, Eggs, Flour",1370.59,UPI,2025-07-02 16:32:36,48.0,0
ORD100105,USR2040,2025-06-06 04:51:16,Pune,"Bread, Rice",449.01,UPI,2025-06-06 05:52:16,61.0,0
ORD100106,USR7304,2025-06-24 13:34:45,Kolkata,"Eggs, Snacks, Milk",674.54,Cash,2025-06-24 14:06:45,32.0,1
ORD100107,USR7252,2025-06-04 20:50:53,Chennai,Rice,1157.77,Wallet,2025-06-04 21:49:53,59.0,0
ORD100108,USR8668,2025-06-22 01:32:06,Kolkata,"Fruits, Eggs, Flour",420.32,Card,2025-06-22 02:24:06,52.0,0
ORD100109,USR9669,2025-06-13 20:28:12,Kolkata,"Bread, Eggs, Juice, Snacks",207.77,Card,2025-06-13 20:56:12,28.0,1
ORD100110,USR5119,2025-06-10 16:41:40,Delhi,"Juice, Sugar, Rice, Fruits",505.65,Wallet,2025-06-10 17:59:40,78.0,0
ORD100111,USR1188,2025-06-28 09:11:00,Chennai,Milk,325.71,Wallet,2025-06-28 10:11:00,60.0,0
ORD100112,USR2876,2025-06-07 08:56:43,Hyderabad,"Fruits, Snacks, Milk, Eggs, Vegetables",1401.58,Cash,2025-06-07 09:16:43,20.0,1
ORD100113,USR9797,2025-06-24 14:33:38,Chennai,"Milk, Sugar",1231.37,UPI,2025-06-24 14:54:38,21.0,1
ORD100114,USR5371,2025-07-02 21:22:33,Pune,"Fruits, Snacks",986.77,Wallet,2025-07-02 22:45:33,83.0,0
ORD100115,USR6573,2025-06-10 11:47:57,Bangalore,"Eggs, Bread, Juice",1320.04,Cash,2025-06-10 12:04:57,17.0,1
ORD100116,USR2827,2025-06-23 06:49:22,Delhi,"Sugar, Vegetables, Eggs, Milk, Juice",1225.14,Cash,2025-06-23 07:22:22,33.0,1
ORD100117,USR5808,2025-06-18 09:47:55,Chennai,"Vegetables, Rice, Snacks",361.2,UPI,2025-06-18 10:37:55,50.0,0
ORD100118,USR8123,2025-06-07 00:13:53,Delhi,"Eggs, Snacks, Rice, Sugar",1349.58,UPI,2025-06-07 00:58:53,45.0,1
ORD100119,USR3591,2025-06-26 20:36:16,Delhi,"Eggs, Juice",855.08,Wallet,2025-06-26 21:57:16,81.0,0
ORD100120,USR8433,2025-06-11 21:25:15,Kolkata,Fruits,1230.42,Wallet,2025-06-11 22:29:15,64.0,0
ORD100121,USR1053,2025-06-20 08:03:17,Chennai,"Eggs, Fruits",1354.53,Card,2025-06-20 08:21:17,18.0,1
ORD100122,USR5315,2025-06-09 02:21:27,Chennai,Sugar,545.2,Cash,2025-06-09 03:17:27,56.0,0
ORD100123,USR9201,2025-06-03 10:35:40,Mumbai,"Eggs, Bread, Snacks, Rice, Juice",254.07,Card,2025-06-03 10:59:40,24.0,1
ORD100124,USR3927,2025-06-20 12:47:29,Chennai,Juice,419.11,Wallet,2025-06-20 13:44:29,57.0,0
ORD100125,USR9317,2025-06-06 04:08:10,Chennai,"Flour, Milk, Sugar",697.95,Card,2025-06-06 04:59:10,51.0,0
ORD100126,USR2743,2025-06-28 19:43:25,Mumbai,Milk,1245.22,Cash,2025-06-28 20:52:25,69.0,0
ORD100127,USR5889,2025-06-07 06:17:50,Mumbai,Bread,1305.02,Wallet,2025-06-07 07:36:50,79.0,0
ORD100128,USR9317,2025-06-14 15:04:45,Bangalore,"Rice, Juice, Bread, Vegetables",109.73,Wallet,2025-06-14 15:25:45,21.0,1
ORD100129,USR4258,2025-06-24 06:10:40,Kolkata,"Rice, Eggs, Fruits",815.05,UPI,2025-06-24 06:21:40,11.0,1
ORD100130,USR3504,2025-06-21 11:21:14,Chennai,Vegetables,684.38,UPI,2025-06-21 11:37:14,16.0,1
ORD100131,USR7126,2025-06-19 20:19:35,Hyderabad,"Bread, Flour, Vegetables, Rice",410.95,Card,2025-06-19 21:48:35,89.0,0
ORD100132,USR3646,2025-06-30 01:53:54,Delhi,"Eggs, Juice, Bread, Vegetables, Snacks",267.81,UPI,2025-06-30 02:05:54,12.0,1
ORD100133,USR9837,2025-06-23 11:32:15,Pune,"Bread, Vegetables, Sugar, Juice, Milk",572.66,Card,2025-06-23 11:44:15,12.0,1
ORD100134,USR9689,2025-06-15 02:43:00,Mumbai,"Fruits, Sugar, Vegetables, Juice",1420.07,UPI,2025-06-15 03:19:00,36.0,1
ORD100135,USR1009,2025-06-29 19:01:36,Pune,"Fruits, Snacks, Juice, Eggs, Bread",552.48,UPI,2025-06-29 19:50:36,49.0,0
ORD100136,USR6310,2025-06-27 05:35:39,Chennai,Flour,826.31,UPI,2025-06-27 06:17:39,42.0,1
ORD100137,USR9005,2025-06-09 20:10:35,Hyderabad,"Fruits, Rice, Snacks, Bread",1084.23,Cash,2025-06-09 20:20:35,10.0,1
ORD100138,USR1319,2025-07-02 00:21:25,Delhi,Milk,609.08,Card,2025-07-02 00:38:25,17.0,1
ORD100139,USR2832,2025-07-02 08:44:11,Chennai,Bread,1460.49,UPI,2025-07-02 09:25:11,41.0,1
ORD100140,USR6947,2025-06-13 20:57:34,Hyderabad,"Rice, Eggs, Bread, Juice, Vegetables",1447.43,UPI,2025-06-13 21:54:34,57.0,0
ORD100141,USR6038,2025-06-26 01:54:11,Kolkata,Bread,452.5,Cash,2025-06-26 02:07:11,13.0,1
ORD100142,USR4923,2025-06-06 09:37:03,Delhi,"Fruits, Rice, Vegetables",796.15,Card,2025-06-06 10:56:03,79.0,0
ORD100143,USR1949,2025-06-08 23:00:26,Hyderabad,"Rice, Milk, Bread",521.23,Wallet,2025-06-08 23:28:26,28.0,1
ORD100144,USR4946,2025-06-21 20:51:17,Mumbai,"Milk, Vegetables",498.78,Wallet,2025-06-21 21:32:17,41.0,1
ORD100145,USR2290,2025-06-29 07:39:56,Chennai,"Snacks, Juice, Bread",151.64,Wallet,2025-06-29 07:57:56,18.0,1
ORD100146,USR2403,2025-06-24 03:01:16,Hyderabad,Milk,953.39,UPI,2025-06-24 03:22:16,21.0,1
ORD100147,USR8962,2025-06-14 11:25:52,Hyderabad,Eggs,803.75,Card,2025-06-14 11:45:52,20.0,1
ORD100148,USR2133,2025-06-11 16:33:50,Chennai,"Snacks, Sugar",172.07,Cash,2025-06-11 17:28:50,55.0,0
ORD100149,USR9727,2025-06-13 18:07:01,Delhi,"Sugar, Vegetables, Bread, Eggs",490.11,Wallet,2025-06-13 18:32:01,25.0,1
ORD100150,USR3060,2025-06-27 18:14:45,Chennai,"Eggs, Bread, Juice",1371.57,Card,2025-06-27 18:24:45,10.0,1
ORD100151,USR3103,2025-06-15 06:29:12,Hyderabad,"Rice, Vegetables, Juice, Snacks",435.39,Card,2025-06-15 07:41:12,72.0,0
ORD100152,USR8787,2025-06-03 10:52:13,Pune,"Juice, Eggs, Bread, Rice",302.85,Card,2025-06-03 11:22:13,30.0,1
ORD100153,USR3705,2025-06-24 07:20:47,Kolkata,Eggs,785.23,Cash,2025-06-24 07:59:47,39.0,1
ORD100154,USR5342,2025-06-24 12:52:24,Bangalore,Juice,1479.91,Cash,2025-06-24 13:14:24,22.0,1
ORD100155,USR9645,2025-06-04 21:09:14,Pune,"Rice, Sugar, Eggs, Vegetables, Fruits",438.88,Cash,2025-06-04 21:52:14,43.0,1
ORD100156,USR7932,2025-06-06 08:34:12,Delhi,"Sugar, Milk, Eggs",1040.99,UPI,2025-06-06 08:47:12,13.0,1
ORD100157,USR4470,2025-06-10 06:23:54,Hyderabad,"Rice, Bread, Juice, Fruits",1166.27,UPI,2025-06-10 07:00:54,37.0,1
ORD100158,USR9835,2025-06-27 01:44:53,Bangalore,Bread,432.69,Card,2025-06-27 02:52:53,68.0,0
ORD100159,USR4295,2025-06-19 22:50:16,Kolkata,"Snacks, Milk, Fruits",1119.5,Wallet,2025-06-19 23:26:16,36.0,1
ORD100160,USR6107,2025-06-18 05:31:28,Delhi,"Flour, Sugar, Bread",614.9,Cash,2025-06-18 06:49:28,78.0,0
ORD100161,USR7537,2025-06-16 23:47:31,Pune,"Fruits, Rice, Snacks, Flour",985.23,Card,2025-06-17 00:21:31,34.0,1
ORD100162,USR7118,2025-06-24 01:50:47,Mumbai,"Eggs, Flour, Milk, Rice",986.94,Card,2025-06-24 02:02:47,12.0,1
ORD100163,USR8177,2025-06-26 18:52:12,Chennai,"Flour, Rice",850.08,Cash,2025-06-26 20:09:12,77.0,0
ORD100164,USR9479,2025-06-21 08:08:29,Delhi,"Eggs, Bread, Rice, Sugar",226.41,UPI,2025-06-21 08:42:29,34.0,1
ORD100165,USR8397,2025-06-08 07:59:38,Delhi,"Snacks, Vegetables",1269.42,Card,2025-06-08 08:28:38,29.0,1
ORD100166,USR2982,2025-06-26 00:36:32,Hyderabad,Flour,549.09,Card,2025-06-26 01:19:32,43.0,1
ORD100167,USR5061,2025-06-24 03:33:04,Bangalore,"Flour, Juice",361.13,Cash,2025-06-24 04:08:04,35.0,1
ORD100168,USR4681,2025-06-23 21:16:53,Pune,"Fruits, Bread, Rice, Sugar",157.09,Wallet,2025-06-23 21:30:53,14.0,1
ORD100169,USR2049,2025-06-11 11:49:59,Delhi,"Rice, Bread, Sugar, Fruits, Eggs",927.25,Card,2025-06-11 12:59:59,70.0,0
ORD100170,USR6539,2025-06-07 16:01:44,Chennai,Rice,1048.59,UPI,2025-06-07 16:19:44,18.0,1
ORD100171,USR1344,2025-06-10 23:20:29,Delhi,Bread,123.22,Wallet,2025-06-11 00:19:29,59.0,0
ORD100172,USR4770,2025-06-06 02:48:50,Delhi,"Juice, Milk, Flour, Sugar",816.93,Wallet,2025-06-06 03:03:50,15.0,1
ORD100173,USR4608,2025-06-12 13:45:38,Hyderabad,Sugar,417.09,Cash,2025-06-12 14:54:38,69.0,0
ORD100174,USR1117,2025-06-08 02:42:59,Delhi,"Vegetables, Flour, Fruits, Snacks, Juice",1003.24,UPI,2025-06-08 03:35:59,53.0,0
ORD100175,USR2163,2025-07-01 13:58:25,Bangalore,"Snacks, Sugar, Milk, Juice",344.11,Card,2025-07-01 14:18:25,20.0,1
ORD100176,USR1964,2025-07-03 04:33:22,Hyderabad,"Rice, Snacks",1067.31,Cash,2025-07-03 05:48:22,75.0,0
ORD100177,USR4750,2025-06-05 04:25:02,Mumbai,"Sugar, Rice, Snacks, Flour, Fruits",641.43,UPI,2025-06-05 05:21:02,56.0,0
ORD100178,USR2104,2025-06-15 14:46:01,Kolkata,Bread,1411.42,Card,2025-06-15 16:08:01,82.0,0
ORD100179,USR1514,2025-06-06 03:35:37,Mumbai,"Milk, Snacks",292.53,UPI,2025-06-06 03:47:37,12.0,1
ORD100180,USR6413,2025-06-13 15:32:40,Kolkata,"Vegetables, Flour, Snacks",577.49,Cash,2025-06-13 16:57:40,85.0,0
ORD100181,USR2160,2025-06-23 06:05:31,Pune,Milk,258.86,Wallet,2025-06-23 06:44:31,39.0,1
ORD100182,USR9423,2025-06-27 05:02:16,Pune,"Rice, Eggs",1394.57,UPI,2025-06-27 05:32:16,30.0,1
ORD100183,USR4899,2025-07-02 07:27:46,Pune,"Bread, Vegetables, Fruits, Sugar",1328.28,Wallet,2025-07-02 08:04:46,37.0,1
ORD100184,USR5562,2025-06-26 11:51:25,Hyderabad,Juice,461.12,Card,2025-06-26 13:02:25,71.0,0
ORD100185,USR8953,2025-06-07 15:40:05,Bangalore,"Rice, Fruits",1023.98,Wallet,2025-06-07 16:22:05,42.0,1
ORD100186,USR4510,2025-06-03 09:05:05,Hyderabad,"Bread, Juice, Milk",1244.11,UPI,2025-06-03 09:49:05,44.0,1
ORD100187,USR9834,2025-06-25 16:56:33,Hyderabad,"Bread, Rice, Flour, Snacks, Vegetables",877.28,UPI,2025-06-25 17:57:33,61.0,0
ORD100188,USR3167,2025-06-04 01:57:44,Kolkata,"Eggs, Rice, Milk, Vegetables, Snacks",841.51,UPI,2025-06-04 02:40:44,43.0,1
ORD100189,USR8744,2025-06-24 15:17:29,Hyderabad,Flour,438.59,Cash,2025-06-24 16:07:29,50.0,0
ORD100190,USR4981,2025-06-11 02:10:04,Hyderabad,"Sugar, Rice, Eggs, Snacks",230.34,Card,2025-06-11 03:10:04,60.0,0
ORD100191,USR8749,2025-06-18 03:09:36,Delhi,"Eggs, Sugar, Bread, Fruits, Snacks",1356.1,Card,2025-06-18 04:05:36,56.0,0
ORD100192,USR7669,2025-06-17 20:04:06,Pune,"Sugar, Snacks, Juice, Fruits, Vegetables",1360.59,Card,2025-06-17 21:11:06,67.0,0
ORD100193,USR4119,2025-06-27 06:25:26,Pune,"Vegetables, Juice",986.34,UPI,2025-06-27 07:49:26,84.0,0
ORD100194,USR2545,2025-06-08 01:52:21,Kolkata,"Vegetables, Rice, Eggs",574.64,UPI,2025-06-08 02:58:21,66.0,0
ORD100195,USR2588,2025-06-21 14:32:48,Chennai,"Juice, Flour",588.89,Cash,2025-06-21 15:04:48,32.0,1
ORD100196,USR8062,2025-06-04 15:34:33,Mumbai,"Flour, Snacks, Fruits",1116.34,Cash,2025-06-04 16:31:33,57.0,0
